info: Dec-18-2022 11:20:53: 	Server started and running on  8080
info: Dec-18-2022 11:24:04: 	Server started and running on  8080
info: Dec-18-2022 11:37:05: 	Server started and running on  8080
info: Dec-18-2022 11:39:43: 	Server started and running on  8080
info: Dec-18-2022 11:41:38: 	Server started and running on  8080
info: Dec-18-2022 11:42:22: 	Server started and running on  8080
info: Dec-18-2022 11:43:00: 	Server started and running on  8080
info: Dec-18-2022 11:43:12: 	Server started and running on  8080
info: Dec-18-2022 11:48:34: 	Server started and running on  8080
info: Dec-18-2022 11:50:06: 	Server started and running on  8080
info: Dec-18-2022 11:51:46: 	Server started and running on  8080
info: Dec-18-2022 11:52:19: 	Server started and running on  8080
info: Dec-18-2022 11:52:39: 	Server started and running on  8080
info: Dec-18-2022 12:01:00: 	Server started and running on  8080
info: Dec-18-2022 12:01:23: 	Server started and running on  8080
info: Dec-18-2022 12:02:35: 	Server started and running on  8080
info: Dec-18-2022 12:05:11: 	Server started and running on  8080
error: Dec-18-2022 12:06:35: 	422 - Unprocessable Entity - Request a new token - /api/v1/verify_email_account/ - PATCH - ::1
error: Dec-18-2022 12:06:57: 	422 - Unprocessable Entity - School does not exist with the email provided - /api/v1/request_email_address_otp/?school_id=639dd4a66773fd9888da08ce - POST - ::1
info: Dec-18-2022 12:08:59: 	Server started and running on  8080
info: Dec-18-2022 12:09:35: 	Server started and running on  8080
error: Dec-18-2022 12:09:43: 	422 - Unprocessable Entity - You are not authorized - /api/v1/request_email_address_otp/?school_id=639ef41cb5ede122dcfba305 - POST - ::1
error: Dec-18-2022 12:11:04: 	422 - Unprocessable Entity - Invalid school id was provide - /api/v1/complete_school_profile/?school_id=639dd4a66773fd9888da08ce - PATCH - ::1
error: Dec-18-2022 12:11:23: 	422 - Unprocessable Entity - Please verify your email address, or you contact guident customer care - /api/v1/complete_school_profile/?school_id=639ef41cb5ede122dcfba305 - PATCH - ::1
error: Dec-18-2022 12:11:31: 	422 - Unprocessable Entity - Please verify your email address, or you contact guident customer care - /api/v1/complete_school_profile/?school_id=639ef41cb5ede122dcfba305 - PATCH - ::1
error: Dec-18-2022 12:12:22: 	422 - Unprocessable Entity - You are not authorized - /api/v1/verify_email_account/ - PATCH - ::1
error: Dec-18-2022 12:13:40: 	404 - Not Found - You need to provide valid the school _id - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 12:14:01: 	422 - Unprocessable Entity - You are not authorized - /api/v1/admit_student/school?school_id=639ef41cb5ede122dcfba305 - POST - ::1
error: Dec-18-2022 12:14:57: 	422 - Unprocessable Entity - You are not authorized - /api/v1/admit_student/school?school_id=639ef41cb5ede122dcfba305 - POST - ::1
info: Dec-18-2022 12:25:16: 	Server started and running on  8080
error: Dec-18-2022 12:25:33: 	409 - Conflict - Student is already admitted - /api/v1/admit_student/school?school_id=639ef41cb5ede122dcfba305 - POST - ::1
info: Dec-18-2022 12:31:18: 	Server started and running on  8080
info: Dec-18-2022 12:33:26: 	Server started and running on  8080
error: Dec-18-2022 12:33:48: 	500 - Internal Server Error - window is not defined - /api/v1/admit_student/school?school_id=639ef41cb5ede122dcfba305 - POST - ::1
error: Dec-18-2022 12:34:10: 	500 - Internal Server Error - window is not defined - /api/v1/admit_student/school?school_id=639ef41cb5ede122dcfba305 - POST - ::1
error: Dec-18-2022 12:36:17: 	500 - Internal Server Error - window is not defined - /api/v1/admit_student/school?school_id=639ef41cb5ede122dcfba305 - POST - ::1
info: Dec-18-2022 12:38:19: 	Server started and running on  8080
error: Dec-18-2022 12:38:31: 	500 - Internal Server Error - window is not defined - /api/v1/admit_student/school?school_id=639ef41cb5ede122dcfba305 - POST - ::1
info: Dec-18-2022 12:39:45: 	Server started and running on  8080
error: Dec-18-2022 12:40:05: 	500 - Internal Server Error - window is not defined - /api/v1/admit_student/school?school_id=639ef41cb5ede122dcfba305 - POST - ::1
info: Dec-18-2022 12:41:03: 	Server started and running on  8080
error: Dec-18-2022 12:41:18: 	500 - Internal Server Error - window is not defined - /api/v1/admit_student/school?school_id=639ef41cb5ede122dcfba305 - POST - ::1
info: Dec-18-2022 12:42:02: 	Server started and running on  8080
error: Dec-18-2022 12:42:20: 	500 - Internal Server Error - window is not defined - /api/v1/admit_student/school?school_id=639ef41cb5ede122dcfba305 - POST - ::1
info: Dec-18-2022 12:43:01: 	Server started and running on  8080
info: Dec-18-2022 12:43:19: 	Server started and running on  8080
info: Dec-18-2022 12:43:25: 	Server started and running on  8080
info: Dec-18-2022 12:44:32: 	Server started and running on  8080
info: Dec-18-2022 12:46:39: 	Server started and running on  8080
error: Dec-18-2022 12:46:48: 	409 - Conflict - Student is already admitted - /api/v1/admit_student/school?school_id=639ef41cb5ede122dcfba305 - POST - ::1
error: Dec-18-2022 12:46:56: 	409 - Conflict - Student is already admitted - /api/v1/admit_student/school?school_id=639ef41cb5ede122dcfba305 - POST - ::1
info: Dec-18-2022 12:49:00: 	Server started and running on  8080
info: Dec-18-2022 12:49:31: 	Server started and running on  8080
error: Dec-18-2022 12:49:41: 	409 - Conflict - Student is already admitted - /api/v1/admit_student/school?school_id=639ef41cb5ede122dcfba305 - POST - ::1
info: Dec-18-2022 12:51:17: 	Server started and running on  8080
